id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10664036,HOUSE,HOUSE,Rochefort,Namur,5580,120000,residential_sale,3,26,not_installed,False,False,1,0,0,0,115,312,4,False,to_renovate
10663596,HOUSE,HOUSE,Grivegnée,Liège,4030,175000,residential_sale,4,0,not_installed,0,False,0,0,0,0,152,70,2,False,to_be_done_up
10665653,HOUSE,HOUSE,HERMEE,Liège,4680,225000,residential_sale,3,0,0,0,1,1,24,1,0,134,259,2,0,to_be_done_up
10664602,HOUSE,HOUSE,Gent,East Flanders,9000,235000,residential_sale,1,20,installed,False,1,0,0,1,260,54,902,2,0,good
10663713,HOUSE,HOUSE,Erpe-Mere,East Flanders,9420,270000,residential_sale,3,30,0,0,False,1,0,0,0,147,570,3,False,to_renovate
10664198,HOUSE,HOUSE,Athus,Luxembourg,6791,320000,residential_sale,4,26,semi_equipped,0,1,1,30,1,0,139,1210,3,0,to_restore
10665539,HOUSE,HOUSE,Nivelles,Walloon Brabant,1400,325000,residential_sale,3,30,semi_equipped,0,1,1,37,1,200,146,340,4,0,to_be_done_up
10677696,APARTMENT,APARTMENT,Schaerbeek,Brussels,1030,245000,residential_sale,1,0,0,False,False,0,0,0,0,76,0,2,False,0
10676768,APARTMENT,APARTMENT,Oostende,West Flanders,8400,279000,residential_sale,2,0,installed,False,False,0,0,0,0,85,0,0,False,good
10678053,APARTMENT,APARTMENT,Uccle,Brussels,1180,405000,residential_sale,2,0,hyper_equipped,False,False,1,31,0,0,92,0,4,False,as_new
10676464,APARTMENT,APARTMENT,Auderghem,Brussels,1160,521500,residential_sale,2,0,hyper_equipped,0,False,1,8,0,0,105,0,0,False,as_new
10675460,APARTMENT,PENTHOUSE,Ixelles,Brussels,1050,570000,residential_sale,2,29,hyper_equipped,False,False,1,12,0,0,85,0,2,False,as_new
10661274,APARTMENT,APARTMENT,Blankenberge,West Flanders,8370,449000,residential_sale,2,0,hyper_equipped,False,False,1,0,0,0,82,0,0,False,good
10532232,APARTMENT,APARTMENT,Huy,Liège,4500,119000,residential_sale,1,20,semi_equipped,0,1,0,0,0,0,65,0,2,0,good
10465432,APARTMENT,APARTMENT,SINT-DENIJS-WESTREM,East Flanders,9051,120000,residential_sale,1,0,not_installed,0,1,0,0,0,0,67,0,2,0,to_be_done_up
10465431,APARTMENT,APARTMENT,SINT-DENIJS-WESTREM,East Flanders,9051,125000,residential_sale,1,0,not_installed,0,1,0,0,0,0,70,0,2,0,to_be_done_up
10508588,APARTMENT,KOT,Mechelen,Antwerp,2800,134000,residential_sale,1,0,usa_hyper_equipped,1,False,1,0,0,0,22,0,2,0,as_new
10093818,APARTMENT,DUPLEX,Fleurus,Hainaut,6220,135000,residential_sale,2,15,installed,0,1,0,0,0,0,100,0,3,0,good
10597087,APARTMENT,APARTMENT,Dison,Liège,4820,139000,residential_sale,2,34,installed,False,False,1,32,0,0,90,0,4,False,good
10616305,APARTMENT,FLAT_STUDIO,Ixelles,Brussels,1050,140000,residential_sale,0,30,installed,False,False,0,0,0,0,30,0,2,False,good
10508590,APARTMENT,KOT,Mechelen,Antwerp,2800,142000,residential_sale,1,0,usa_hyper_equipped,1,False,1,0,0,0,24,0,2,0,as_new
10591792,APARTMENT,APARTMENT,SINT-MARTENS-LENNIK,Flemish Brabant,1750,149000,residential_sale,1,0,semi_equipped,0,1,1,0,0,0,79,0,2,0,good
10559451,APARTMENT,APARTMENT,Liège,Liège,4030,149000,residential_sale,1,35,not_installed,0,1,1,20,0,0,65,0,2,0,good
10618170,APARTMENT,APARTMENT,Herstal,Liège,4040,149500,residential_sale,2,25,installed,1,1,1,12,0,0,75,0,2,0,good
10509221,APARTMENT,APARTMENT,Wanfercée-Baulet,Hainaut,6224,155000,residential_sale,1,23,semi_equipped,0,1,0,0,0,0,53,0,3,0,good
10625057,APARTMENT,APARTMENT,BEVEREN- LEIE,West Flanders,8791,155000,residential_sale,2,0,installed,0,1,1,0,0,0,108,0,4,0,to_be_done_up
10544549,APARTMENT,APARTMENT,Liège,Liège,4020,157000,residential_sale,2,33,installed,False,False,1,5,0,0,85,0,2,False,good
10397606,APARTMENT,SERVICE_FLAT,Leuven,Flemish Brabant,3001,159000,residential_sale,1,24,semi_equipped,0,False,1,4,0,0,53,0,0,0,good
9928138,APARTMENT,APARTMENT,Dendermonde,East Flanders,9200,159000,residential_sale,1,0,semi_equipped,0,1,0,0,0,0,65,0,2,0,good
10607435,APARTMENT,GROUND_FLOOR,Antwerp,Antwerp,2060,165000,residential_sale,2,0,installed,0,1,0,0,0,0,61,0,3,0,just_renovated
10554225,APARTMENT,APARTMENT,Deurne,Antwerp,2100,165000,residential_sale,2,28,0,0,1,1,3,0,0,70,0,2,0,to_be_done_up
10509225,APARTMENT,APARTMENT,Wanfercée-Baulet,Hainaut,6224,165000,residential_sale,2,26,semi_equipped,0,1,0,0,0,0,76,0,3,0,good
10509223,APARTMENT,APARTMENT,Wanfercée-Baulet,Hainaut,6224,165000,residential_sale,2,26,semi_equipped,0,1,0,0,0,0,75,0,3,0,good
10586735,APARTMENT,APARTMENT,Liège,Liège,4000,169000,residential_sale,2,25,installed,0,1,1,3,0,0,75,0,2,0,good
10471475,APARTMENT,APARTMENT,Mouscron,Hainaut,7700,175000,residential_sale,2,0,installed,0,1,0,0,0,0,100,0,0,0,good
10638565,APARTMENT,APARTMENT,Oostende,West Flanders,8400,175000,residential_sale,1,0,installed,1,False,0,0,0,0,57,0,2,False,as_new
